,title,date,tags,summary
257, FOMO on Meme Street II - Vitalik VS Shiba,"Thursday, May 13, 2021","fomo,doge,vitalik","A few months back, Doge had this town in his pocket, now you could strain him through a sieve. New money brought new liquidity. The kind of liquidity Doge had hoped would clean the filth right off these streets. But he’d got it wrong. Dead wrong."
258, XToken - REKT,"Wednesday, May 12, 2021","XToken,REKT",The X-ploiters live amongst us. $24 Million gone from XToken. A sub-species of crypto users have developed superhuman abilities which allow them to tear through holes in smart contracts or mould them to their will with flash loans and arbitrage.
259, Rari Capital - REKT,"Saturday, May 8, 2021","Rari Capital,REKT","Young blood & new money. Rari Capital has fallen victim to a serial attacker, who came from across chains to drain the Rari Capital pool, removing $10 million worth of ETH."
260, Value DeFi - REKT 3,"Saturday, May 8, 2021","Value DeFi,REKT",Twice in one week. Value DeFi is a trainwreck. Six months ago they lost $7M. Three days ago they lost $10M. Now they’ve lost another $11M. What went so wrong with Value DeFi?
261, Value DeFi - REKT 2,"Thursday, May 6, 2021","Value DeFi,REKT","2 for 1, that’s Value DeFi - The first protocol to feature twice on the rekt leaderboard. First seven million, and now ten million dollars taken, as Value DeFi gets rekt cross-chains."
262, Big if TrueBit,"Wednesday, May 5, 2021",TrueBit,"Truth can be stranger than fiction… If the TrueBit launch wasn’t a scam, then why was there so much suspicion? With no official media channels or any form of up to date launch announcement, there is still much we don’t know about the mysterious launch of TrueBit protocol."
263, Spartan Protocol - REKT,"Sunday, May 2, 2021","Spartan Protocol,REKT","Sparta has fallen. A flaw in the code allowed an attacker to drain the SPARTA/WBNB liquidity pool, earning themselves $30 million and the 6th position on the rekt leaderboard as a result."
264, The Second Layer,"Friday, April 30, 2021","Ethereum,L2","Layer two is here, and apps are scaling fast. They say life on the second layer is a huge improvement, but how long will it last? What is Layer two, what do we know about the solutions that are being offered, and is everything as safe as it seems?"
265, Uranium Finance - REKT,"Wednesday, April 28, 2021","Uranium,REKT","Cross-chain hacks are on the rise. Uranium Finance exploded again, leaving BSC users to cope with the fall out. $57 million gone, in the latest hack on Binance Smart Chain."
266, Shitcoins,"Monday, April 26, 2021","shitcoin,safemoon","It’s been at least three months since the FOMO began, and the shitcoins show no sign of stopping. Countless people making X amounts of gains, and still we continue to laugh at what we see as scams and money grabs, confident in the knowledge that the bubble will surely burst. It all starts to feel familiar… Are we the boomers now?"
267, EasyFi - REKT,"Tuesday, April 20, 2021",REKT,"The first big hack of a layer two protocol was EASY - $6 million in stablecoins and ~$53 million in EASY tokens gone without any complications, when the mnemonic keys for Easy Network fell into the wrong hands."
268, Flip a $COIN,"Thursday, April 15, 2021","Coinbase,DAO","Now we are on the other side of the $COIN, and the game has changed forever. The Coinbase listing was a milestone for not just the founders, but all early believers and current enthusiasts. Now Wall Street can consume Bitcoin profits without having to look crypto in the eye, and the legitimisation of our industry continues."
269, Fei - REKT,"Wednesday, April 7, 2021","Fei Protocol,Stablecoins","FEI has failed to maintain its $1 peg, and protocol governance token TRIBE has dropped by around 30% since launch. Fei’s tokenomics imprison and punish their users for the failures of the founders, and the project is widely seen as a disaster. What does the future hold for Fei, and for algorithmic stablecoins in general?"
270, Force - REKT,"Sunday, April 4, 2021","Weak,Force",A white hat is not white if nobody can see it. The community rugged itself. Force DAO - the smallest airdrop followed by the most unremarkable hack.
271, Time as Money,"Tuesday, March 30, 2021",NFT,"Consider a world where we don’t share moments - we trade them, where every second can be sold and every minute might make money. From moments in sports to the past performance of politicians. Where, or when, will it end?"
272, Sheeple,"Thursday, March 25, 2021","Beeple,NFT","Beeple is out and who can blame him? Maybe those who who paid millions in ETH for his artwork, or maybe those who promoted him as a figurehead for the NFT industry. Will this mark the end of the NFT craze?"
273, Bitclout,"Wednesday, March 24, 2021","Bitclout,Social Tokens","Shoot yourself in the foot to log in - people will do anything for clout. Despite the hate and the public mockery, “Bitclout” rumbles on; a system of forcibly assigned social tokens valued by the number of followers each account has on Twitter. Who's behind this controversial project?"
274, Reef VS Alameda,"Tuesday, March 16, 2021","Reef,Alameda,SBF","The biggest deals aren’t done in public. The real money changes hands OTC, where business is not so black and white. When Reef sent Alameda an initial transaction of $20m REEF, Alameda quickly sent them to Binance, where they were sold or maybe used as collateral. What happened next was not pretty."
275, Roll - REKT,"Sunday, March 14, 2021","Roll,Social Tokens,REKT","Attacks can happen at any time, but the weekends are always busiest. Social tokens haven’t taken off yet, but that doesn’t mean Roll didn’t get rekt. $5.7 million gone, and still no word from the Roll team."
276, Whale Hunt - Big Data Protocol,"Friday, March 12, 2021","BDP,Whale Hunt","This time last year, DeFi TVL had just crossed $1B. Now we see $6.2B in just one protocol. The six days of the Big Data Protocol liquidity mining program are over, and capital is flowing out of this whale sized fishbowl."
277, DODO - REKT,"Tuesday, March 9, 2021","DODO,REKT","Is it dead or has it just gone to bed? DODO was hacked for $2 million using a fake token attack, but the motive remains unclear. One thing’s for sure, whether hat white or black - only $2 million? Must try harder."
278, Paid Network - REKT,"Friday, March 5, 2021","PAID,REKT","Willy Wonka returns with the infinite mint, creating 59,471,745.571 PAID tokens before dumping them onto the unsuspecting Oompa Loompas who were providing liquidity to the PAID/ETH pair on Uniswap."
279, Meerkat Finance - BSC - REKT,"Thursday, March 4, 2021","BSC,Meerkat,REKT","An impressive debut for the first major exploit on BSC, as Meerkat Finance head straight to number three on our leaderboard. Will CZ and team roll back their corporate chain, or allow their users to suffer the loss? This suricate scam leaves the thieves with nowhere to hide."
280, Unreal Estate,"Thursday, March 4, 2021","VR,NFT",Welcome to the Unreal Estate. We invite you to pass through the revolving doors of perception and take a trip into a different reality. VR and NFTs will change the world. We visit Decentraland and Somnium Space to bring you a vision of two worlds that will soon collide on-chain.
281, Furucombo - REKT,"Monday, March 1, 2021","Furucombo,rekt","Better to wait than to swing and miss. rekt gets in the ring with Limzero and Kurt Barry to investigate the $14m furucombo knockout. ""Infinite approval"" is never safe."
282, FED - REKT,"Thursday, February 25, 2021","FED,rekt,decentralisation","The US government payment system “Fedwire” got rekt yesterday, preventing them from processing some of the $3 trillion dollars that is supposed to go through their system each day. Decentralise the central bank. Give us a CBDC and we'll decide if we use it or not."
283, BSC - The Bridge to DeFi,"Monday, February 22, 2021","Binance,BSC,CeDeFi","Decentralisation was once a core value. Has the game changed or is it just the players? Developers are already building cross chain bridges, but as BSC and other centralised chains start to increase their adoption, some parts of the community become quite concerned. ETH gas fees are too damn high."
284, NFT - Digital Art Enthusiast,"Friday, February 19, 2021","NFT,Digital Art","From the farm to the gallery. rekt investigates the current NFT hype, cuts through the noise and gets straight to the signal in a special edition featuring interviews with cryptocobain and cryptopathic."
285, Alpha Finance - REKT,"Saturday, February 13, 2021","Alpha Finance,Cronje,rekt","The dark arts of DeFi remain the most profitable. ~$37.5M gone in a tale of fake magic, confusion and accusation. The victim has singled out their attacker."
286, Under the Armor,"Saturday, February 13, 2021","Armor,Azeem,kferret","We live and we learn. Perhaps we were too harsh on Armor. Where there is no regulation, reputation is key, and we were too quick to judge the events based on previous stories involving certain characters."
287, Armor - rekt,"Wednesday, February 10, 2021","Armor,Azeem,rekt",Sometimes armour is not enough. A protocol that offered protection has stabbed its users in the back. Armor is not to be trusted. The team decided to throw away their reputation and put their greed on public display when they refused to pay one of their policyholders after last week's Yearn arb attack.
288, The Big Combo (Growth DeFi - REKT),"Tuesday, February 9, 2021","BT Finance,Growth DeFi","The days blur into one. Locked down, wired up and worn out. Millions of dollars gone but nobody blinks an eye. BT Finance? Growth DeFi? Small name backstreet protocols are easy prey for the serial killers who roam these streets without fear."
289, Yearn - REKT,"Friday, February 5, 2021","Yearn,REKT",No protocol is too big to fail. The extreme power of flash loans makes blue chips fade to black. Even the mighty Yearn falls victim to the arbitrageur. Will Yearn be bailed out by CeFi?
290, Return to the dark forest,"Wednesday, February 3, 2021","dark forest,mempool","A new anonymous author speaks out. Join us, as we venture deep into the Dark Forest to uncover a mafia business model being operated by bloXrouteLabs. This protection racket turns Ethereum into a pay-to-play game, which only the frontrunners can win."
291, Hype and Hashmasks,"Tuesday, February 2, 2021","hashmasks,NFT","Hashmasks has taken the community by storm after it’s recent launch, selling 16,384 unique cards for approximately 7,300 ETH. However, where there is hype there are scammers..."
292, FOMO on Meme Street,"Saturday, January 30, 2021","fomo,doge","The city hadn’t seen greed like this since Doge was just a pup with a thin moustache and a thinner wallet. It was a strange week in a strange month, maybe even a strange year."
293, Gamestonk,"Thursday, January 28, 2021","wall st,Rekt","Press X to rekt. “Occupy Wall Street” is best played online, where the hypocrisy of centralised finance can be seen in full HD. The GME hype has been forced to a halt by the retail platforms blocking access to “meme stocks”, but the societal impact of this event is not shown on the price charts."
294, Badgers digg sushi,"Tuesday, January 26, 2021",sushi,"Badgers are known to take the same routes when they are out foraging for food during the night. This creates well-worn paths through fields and woods.When a badger’s usual path is disturbed or obstructed in some way, this confuses the animal, and results in them rebasing to the incorrect pairing."
295, Saddle Finance - REKT,"Wednesday, January 20, 2021","saddle finance,Fork,Rekt","Some things are better left alone. Raise $4.2m, copy the code from Curve, and get rekt. Any investor that backed @saddlefinance values profit over progress. Why fund a fork with zero innovation?"
296, The Whitepaper,"Wednesday, January 13, 2021","whitepaper,Cronje",Few survive the harsh conditions of this dry and technical document. The ICO boom of 2017 destroyed the atmosphere of the whitepaper. Nostalgia tells a tale - we reminisce with Cronje
297, Blood in the streets,"Monday, January 11, 2021","liquidation,markets,Rekt","Rothschild’s words are as loud as ever. $2.9 billion liquidated in the last 24 hours.  Euphoria is dead. Gamblers are out. Who dares buy now? As always, many will say they saw this coming. Others will even say they know the reason."
298, Schrödinger's Stolen NFT,"Tuesday, January 5, 2021","$meme,NFT,interview","There’s more than one way to skin Schrödinger’s cat. The aptly named ""Rug Pull"" experiment by @DontBuyMeme was cut short. Was this the planned end game, or an NFT art crime cover up? The ending is open to interpretation. We interview @DirSchmidt."
299, yCredit the Ape,"Sunday, January 3, 2021","ycredit,Cronje,interview","Cronje doesn’t build for speculators, yet his new code seems to be used for speculation and nothing else. The Cronje audit process sees him throw unfinished products to the apes, who gladly feast on whatever token is thrown their way."
300, Cover - REKT,"Tuesday, December 29, 2020","cover,Rekt","Next time, take care of your own shit. Infinite mint but it’s no Willy Wonka - this is a Hollywood classic insurance themed noir. The black and white outcomes of insurance policies lend themselves well to Hollywood storylines."
301, Nexus Mutual - Hugh Speaks Out,"Wednesday, December 23, 2020","nexus mutual,hugh,Rekt","You are not as safe as you think. Hardware wallets and private keys are useless if your machine is compromised.  Apes pay tax and traders lose funds, but careful users don’t deserve to lose their money. Hugh Karp of Nexus Mutual was hacked for $8M."
302, Ledger - REKT,"Monday, December 21, 2020","ledger,gdpr,Rekt","Vote with your wallet. Ledger has lost the trust of their users. The customer information that was taken in July has long been available to those who were willing to pay the price, but now it's free of charge."
303, Warp Finance - REKT,"Friday, December 18, 2020","warp finance,Rekt","All human beings, as we meet them, are commingled out of good and evil. As Jekyll was to Hyde, so white hat is to black. The developers we trust in daylight could be different in the night.  A potion of knowledge with irresistible results - who could resist when the punishment is zero?"
304, Deepfake - A Scam so Surreal,"Thursday, December 17, 2020","deepfake,rugpull","Fake news is old news, but now it looks different. Deepfake technology is the most surreal form of media manipulation we’ve ever seen, one which threatens the trust we place in our own perception.  When we have reason to doubt our own senses, verification becomes near impossible."
305, CeFi - REKT,"Monday, December 14, 2020","fed,cefi,Rekt","They play the same games as we do. The stakes are higher but the rules are the same. Nobody calls a hack an exploit when it’s nation versus nation, instead it’s a “huge cyber espionage campaign”, by “highly sophisticated threat actors”. The U.S got rekt like anybody else."
306, Stablecoins - The Empire Strikes Back,"Tuesday, December 8, 2020","stablecoin,regulation","To the rebellious mind, stablecoins represent a new hope; a route toward financial democracy and banking the unbanked. To the existing elite, stablecoins and decentralised finance are a phantom menace - an ethereal threat to their imperial power."
307, Ape Tax,"Friday, December 4, 2020","ape tax,defi","Throughout history, man has sought to distance himself from the ape.  Four billion years have passed since we first emerged from the primordial soup, and now a new evolution has begun."
308, Compounder Finance - REKT,"Wednesday, December 2, 2020","c3pr,audit,rugpull","The rekt reaper has a way of making people talk. In the final moments, when all TVL has gone, and the drawdown seems unbearable, a faceless figure enters the chat... Follow our anonymous author as he tracks down and interrogates the perpetrator of the $12M Compounder Finance rug pull."
309, Decentralised Monopoly,"Monday, November 30, 2020","yearn,merger,yfi","We can’t change the cards we are dealt, but we can change how we play the game. Players who are skilled enough to roll the dice in their favour can rewrite the rulebook, while others take a chance card and hope they don’t get rekt."
310, SushiSwap Saved - 0xMaki Speaks Out,"Sunday, November 29, 2020","sushiswap,0xmaki",Out of the frying pan and into the fire - The anonymous developer 0xMaki took on the lead development of SushiSwap after founder Chef Nomi let greed get the better of him.
311, Coinbase & The Oracle,"Thursday, November 26, 2020","coinbase,oracle,liquidation","Recent attacks have seen hackers returning millions of dollars to their victims, or simply leaving money on the table when they could have taken more.  Various methods have been used to steal funds in the recent hack epidemic, but one character has played a role throughout..."
312, Pickle Finance - REKT,"Sunday, November 22, 2020","pickle finance,Rekt","The fermentation of finance continues. Even pickles have a shelf life. Pickle Finance has become the latest victim of the hack epidemic. However, this time, something is different..."
313, The Great Flash Loan,"Friday, November 20, 2020","flash loan,defi","Flash loans, for better or worse, have incentivized a melting pot of talented coders of all manner of ethical fluidness to seek out untold fortunes. The concept of Flash Loan Arbing is not a sin and should never be held in such regard."
314, Hack Epidemic (Origin Protocol - REKT),"Tuesday, November 17, 2020","hack,flash loan,origin,cheese bank","Stay at home, wear a mask, the hack epidemic is spreading.These are dark times for weak code. Developers need to put their protocols into lockdown. Greed is contagious, and hacks bring eye-catching prizes. In just 24 hours we hear of two more attacks."
315, Value DeFi - REKT,"Saturday, November 14, 2020","value defi,rekt,flash loan","Did they really know flashloan? The value of a reputation is volatile. Humility brings stability - boast too much and you will get rekt. Value DeFi was exploited today for $7,000,000. Another harsh lesson from the flash loan family."
316, Akropolis - REKT,"Thursday, November 12, 2020","akropolis,delphi,REKT","The Akropolis has not been this rekt since the battle of Salamina in 480 B.C. A modern day King Xerses has razed the Akropolis once more, stealing $2,000,000 DAI via a combination of flash loans and re-entrancy."
317, Infura - Issue of Consensus,"Wednesday, November 11, 2020","geth,infura,ethereum,Fork","Consensus isn’t just about agreement, it’s about changing things around.There were problems across the Ethereum network today as consensus flaws were hit on mainnet."
318, Politics and Prescience,"Tuesday, November 3, 2020","prediction markets,defi,politics","If prediction is the foundation of intelligence, then memories are the blocks with which it’s built.Will DeFi do best under Biden or Trump?"
319, Hopium Diaries - Dystopian Dreams,"Friday, October 30, 2020","hopium diaries,defi","The fire is growing, and a new financial world is emerging. Follow our anonymous author into the future of finance."
320, Harvest Finance - REKT,"Monday, October 26, 2020","harvest finance,flash loan,hack",The reaper does not listen to the harvest. A skilled farmer used flash loans to reap $24 million from the FARM_USDT and FARM_USDC pools.
321, rekt:TV - SBF vs Julien Bouteloup,"Wednesday, October 21, 2020","sbf,blue kirby,interview,video","For the debut episode of rektTV, Julien Bouteloup and SBF go head to head for over an hour on a range of topics including Blue Kirby, Cream Finance, SBF on-chain activity, SushiSwap, and more."
322, Uniswap Flop - Dharma Vote Stopped,"Monday, October 19, 2020","uniswap,governance,dharma","A vote created by Dharma  proposing “a threshold of 3m UNI for proposal submission, and 30m UNI as quorum.”  has been rejected today after failing to meet quorum."
323, The Return of Cronje,"Wednesday, October 14, 2020","Cronje,Rekt","The weary alchemist has been drawn out from recluse, and has brought with him yet another book of unfinished code."
324, Uniswap Swindle - Scammer Speaks Out,"Monday, October 12, 2020","scam,interview",The following interview was conducted late last night by Inspector Rekt and an anonymous source.
325, Whale Hunt - SBF & Blue Kirby,"Friday, October 9, 2020","sbf,blue kirby,whale hunt","Red candles burn the hottest. When the bulls stop running, fingers start pointing, and euphoria and greed turn to suspicion and accusation. In the translucent waters of the crypto markets, hunters watch the whales with an eagle eye."
326, The DeFi feast is over.,"Thursday, October 8, 2020","defi,alpha","The feast of DeFi summer is over. The food tokens have gone cold, and much of what’s coming out of the kitchen seems stale and unappealing. Now is the time to take a look at what is left on our plate, adjust our belts, and perhaps reconsider our diet for the next few months."
327, Winter Farming,"Monday, October 5, 2020","defi,farming,alpha","Now that DeFi Summer is over, and APY is getting thin on the ground, many have declared the game of yield farming to be over."
328, Eminence Refund - Do or DAI,"Friday, October 2, 2020","Eminence,Cronje,defi","With his hand forced by threats from community members, Andre Cronje and team have quickly taken action to refund the $8M that was mysteriously returned after the EMN contract was exploited for $15M on the 29th September."
329, Eminence - Rekt in prod,"Tuesday, September 29, 2020","yfi,defi,hack,Eminence,Cronje","The crypto community went into another frenzy last night, as Andre Cronje's unreleased project became the focus of hundreds of users, who bought $15 million of the $EMN token."
330, Kucoin - REKT,"Tuesday, September 29, 2020","kucoin,epic,hack","After what was described as an “unplanned movement of funds” on September 26th, Kucoin has reassured their users that all assets stolen in the hack will be returned and that Kucoin is fully insured for this scenario."
331, $FEW gets REKT,"Monday, September 28, 2020","few,Rekt,defi","Most regular users of crypto twitter are likely to have seen the $FEW cashtag mentioned in the past few days. For those who have not seen the story, this was a short lived plan to hype up and pump the price of an airdropped token named $FEW, based on the “few understand” meme."
332, The Crooked Swerve,"Thursday, September 24, 2020","Swerve,Fork,Rekt",Swerve users have been left in dismay after the founders of the project have pumped and dumped their tokens for what could be the last time.
333, Hello World,"Wednesday, September 23, 2020",Hello World,This is rekt.
